project_id,state_id,due_date
1,1,2021-08-15 00:00:00
1,2,2021-08-24 00:00:00
1,3,2021-09-02 00:00:00
2,1,2021-03-18 00:00:00
2,2,2021-03-29 00:00:00
2,3,2021-04-08 00:00:00
2,4,2021-04-17 00:00:00
2,5,2021-04-24 00:00:00
3,1,2021-04-12 00:00:00
3,2,2021-04-24 00:00:00
3,3,2021-04-30 00:00:00
3,4,2021-05-11 00:00:00
3,5,2021-05-16 00:00:00
4,1,2021-02-15 00:00:00
4,2,2021-02-19 00:00:00
4,3,2021-03-03 00:00:00
4,4,2021-03-10 00:00:00
4,5,2021-03-21 00:00:00
5,1,2021-08-29 00:00:00
5,2,2021-09-03 00:00:00
6,1,2021-02-05 00:00:00
6,2,2021-02-09 00:00:00
6,3,2021-02-17 00:00:00
6,4,2021-02-27 00:00:00
6,5,2021-03-10 00:00:00
7,1,2021-04-11 00:00:00
7,2,2021-04-20 00:00:00
7,3,2021-04-28 00:00:00
7,4,2021-05-10 00:00:00
7,5,2021-05-16 00:00:00
8,1,2021-05-13 00:00:00
8,2,2021-05-23 00:00:00
8,3,2021-06-03 00:00:00
8,4,2021-06-10 00:00:00
8,5,2021-06-13 00:00:00
9,1,2021-09-02 00:00:00
10,1,2021-02-03 00:00:00
10,2,2021-02-12 00:00:00
10,3,2021-02-15 00:00:00
10,4,2021-02-27 00:00:00
10,5,2021-03-09 00:00:00
11,1,2021-03-14 00:00:00
11,2,2021-03-22 00:00:00
11,3,2021-03-26 00:00:00
11,4,2021-04-01 00:00:00
11,5,2021-04-13 00:00:00
12,1,2021-03-13 00:00:00
12,2,2021-03-18 00:00:00
12,3,2021-03-29 00:00:00
12,4,2021-04-08 00:00:00
12,5,2021-04-12 00:00:00
13,1,2021-04-02 00:00:00
13,2,2021-04-13 00:00:00
13,3,2021-04-23 00:00:00
13,4,2021-04-27 00:00:00
13,5,2021-05-04 00:00:00
14,1,2021-03-26 00:00:00
14,2,2021-03-30 00:00:00
14,3,2021-04-10 00:00:00
14,4,2021-04-18 00:00:00
14,5,2021-04-29 00:00:00
15,1,2021-08-03 00:00:00
15,2,2021-08-15 00:00:00
15,3,2021-08-26 00:00:00
16,1,2021-03-25 00:00:00
16,2,2021-04-04 00:00:00
16,3,2021-04-08 00:00:00
16,4,2021-04-20 00:00:00
16,5,2021-04-29 00:00:00
17,1,2021-06-07 00:00:00
17,2,2021-06-13 00:00:00
17,3,2021-06-20 00:00:00
17,4,2021-06-25 00:00:00
17,5,2021-07-01 00:00:00
18,1,2021-01-19 00:00:00
18,2,2021-01-31 00:00:00
18,3,2021-02-07 00:00:00
18,4,2021-02-17 00:00:00
18,5,2021-02-21 00:00:00
19,1,2021-07-03 00:00:00
19,2,2021-07-08 00:00:00
19,3,2021-07-13 00:00:00
19,4,2021-07-16 00:00:00
19,5,2021-07-20 00:00:00
20,1,2021-07-04 00:00:00
20,2,2021-07-13 00:00:00
20,3,2021-07-24 00:00:00
20,4,2021-07-31 00:00:00
20,5,2021-08-11 00:00:00
21,1,2021-08-16 00:00:00
21,2,2021-08-22 00:00:00
21,3,2021-09-03 00:00:00
22,1,2021-06-08 00:00:00
22,2,2021-06-15 00:00:00
22,3,2021-06-25 00:00:00
22,4,2021-07-05 00:00:00
22,5,2021-07-13 00:00:00
23,1,2021-04-04 00:00:00
23,2,2021-04-16 00:00:00
23,3,2021-04-20 00:00:00
23,4,2021-04-30 00:00:00
23,5,2021-05-12 00:00:00
24,1,2021-08-15 00:00:00
24,2,2021-08-21 00:00:00
24,3,2021-08-27 00:00:00
24,4,2021-08-30 00:00:00
25,1,2021-02-09 00:00:00
25,2,2021-02-15 00:00:00
25,3,2021-02-23 00:00:00
25,4,2021-02-28 00:00:00
25,5,2021-03-08 00:00:00
26,1,2021-08-07 00:00:00
26,2,2021-08-10 00:00:00
26,3,2021-08-14 00:00:00
26,4,2021-08-19 00:00:00
26,5,2021-08-25 00:00:00
27,1,2021-08-08 00:00:00
27,2,2021-08-20 00:00:00
27,3,2021-08-31 00:00:00
28,1,2021-07-04 00:00:00
28,2,2021-07-08 00:00:00
28,3,2021-07-11 00:00:00
28,4,2021-07-15 00:00:00
28,5,2021-07-21 00:00:00
29,1,2021-08-11 00:00:00
29,2,2021-08-23 00:00:00
29,3,2021-08-27 00:00:00
30,1,2021-02-03 00:00:00
30,2,2021-02-11 00:00:00
30,3,2021-02-15 00:00:00
30,4,2021-02-18 00:00:00
30,5,2021-03-02 00:00:00
31,1,2021-03-01 00:00:00
31,2,2021-03-06 00:00:00
31,3,2021-03-10 00:00:00
31,4,2021-03-20 00:00:00
31,5,2021-03-26 00:00:00
32,1,2021-07-03 00:00:00
32,2,2021-07-06 00:00:00
32,3,2021-07-17 00:00:00
32,4,2021-07-26 00:00:00
32,5,2021-08-07 00:00:00
33,1,2021-08-12 00:00:00
33,2,2021-08-19 00:00:00
33,3,2021-08-23 00:00:00
33,4,2021-08-29 00:00:00
33,5,2021-09-02 00:00:00
