project_id,state_id,due_date,state_entered_timestamp,state_completed_timestamp,days_to_complete,late,days_late,achieved
1,1,2021-08-15,2021-08-14,2021-08-23,9,True,8,True
1,2,2021-08-24,2021-08-23,,,True,0,False
1,3,2021-09-02,,,,False,,False
2,1,2021-03-18,2021-03-19,2021-03-29,10,True,11,True
2,2,2021-03-29,2021-03-29,2021-04-07,9,True,9,True
2,3,2021-04-08,2021-04-07,2021-04-14,7,True,6,True
2,4,2021-04-17,2021-04-14,,,True,129,False
2,5,2021-04-24,,,,True,122,False
3,1,2021-04-12,2021-04-14,2021-04-20,6,True,8,True
3,2,2021-04-24,2021-04-20,2021-05-01,11,True,7,True
3,3,2021-04-30,2021-05-01,2021-05-06,5,True,6,True
3,4,2021-05-11,2021-05-06,,,True,105,False
3,5,2021-05-16,,,,True,100,False
4,1,2021-02-15,2021-02-09,2021-02-21,12,True,6,True
4,2,2021-02-19,2021-02-21,2021-02-28,7,True,9,True
4,3,2021-03-03,2021-02-28,2021-03-11,11,True,8,True
4,4,2021-03-10,2021-03-11,,,True,167,False
4,5,2021-03-21,,,,True,156,False
5,1,2021-08-29,2021-08-24,,,False,,False
5,2,2021-09-03,,,,False,,False
6,1,2021-02-05,2021-01-30,2021-02-07,8,True,2,True
6,2,2021-02-09,2021-02-07,2021-02-17,10,True,8,True
6,3,2021-02-17,2021-02-17,2021-02-28,11,True,11,True
6,4,2021-02-27,2021-02-28,,,True,178,False
6,5,2021-03-10,,,,True,167,False
7,1,2021-04-11,2021-04-10,2021-04-18,8,True,7,True
7,2,2021-04-20,2021-04-18,2021-04-30,12,True,10,True
7,3,2021-04-28,2021-04-30,2021-05-06,6,True,8,True
7,4,2021-05-10,2021-05-06,,,True,106,False
7,5,2021-05-16,,,,True,100,False
8,1,2021-05-13,2021-05-13,2021-05-24,11,True,11,True
8,2,2021-05-23,2021-05-24,2021-05-31,7,True,8,True
8,3,2021-06-03,2021-05-31,2021-06-03,3,False,,True
8,4,2021-06-10,2021-06-03,,,True,75,False
8,5,2021-06-13,,,,True,72,False
9,1,2021-09-02,,,,False,,False
10,1,2021-02-03,2021-02-02,2021-02-05,3,True,2,True
10,2,2021-02-12,2021-02-05,2021-02-17,12,True,5,True
10,3,2021-02-15,2021-02-17,2021-02-27,10,True,12,True
10,4,2021-02-27,2021-02-27,,,True,178,False
10,5,2021-03-09,,,,True,168,False
11,1,2021-03-14,2021-03-12,2021-03-16,4,True,2,True
11,2,2021-03-22,2021-03-16,2021-03-22,6,False,,True
11,3,2021-03-26,2021-03-22,2021-04-03,12,True,8,True
11,4,2021-04-01,2021-04-03,,,True,145,False
11,5,2021-04-13,,,,True,133,False
12,1,2021-03-13,2021-03-08,2021-03-19,11,True,6,True
12,2,2021-03-18,2021-03-19,2021-03-29,10,True,11,True
12,3,2021-03-29,2021-03-29,2021-04-02,4,True,4,True
12,4,2021-04-08,2021-04-02,,,True,138,False
12,5,2021-04-12,,,,True,134,False
13,1,2021-04-02,2021-04-03,2021-04-13,10,True,11,True
13,2,2021-04-13,2021-04-13,2021-04-17,4,True,4,True
13,3,2021-04-23,2021-04-17,2021-04-24,7,True,1,True
13,4,2021-04-27,2021-04-24,,,True,119,False
13,5,2021-05-04,,,,True,112,False
14,1,2021-03-26,2021-03-20,2021-03-31,11,True,5,True
14,2,2021-03-30,2021-03-31,2021-04-08,8,True,9,True
14,3,2021-04-10,2021-04-08,2021-04-19,11,True,9,True
14,4,2021-04-18,2021-04-19,,,True,128,False
14,5,2021-04-29,,,,True,117,False
15,1,2021-08-03,2021-08-05,2021-08-16,11,True,13,True
15,2,2021-08-15,2021-08-16,,,True,9,False
15,3,2021-08-26,,,,False,,False
16,1,2021-03-25,2021-03-25,2021-03-29,4,True,4,True
16,2,2021-04-04,2021-03-29,2021-04-10,12,True,6,True
16,3,2021-04-08,2021-04-10,2021-04-19,9,True,11,True
16,4,2021-04-20,2021-04-19,,,True,126,False
16,5,2021-04-29,,,,True,117,False
17,1,2021-06-07,2021-06-03,2021-06-10,7,True,3,True
17,2,2021-06-13,2021-06-10,2021-06-15,5,True,2,True
17,3,2021-06-20,2021-06-15,2021-06-21,6,True,1,True
17,4,2021-06-25,2021-06-21,,,True,60,False
17,5,2021-07-01,,,,True,54,False
18,1,2021-01-19,2021-01-21,2021-01-28,7,True,9,True
18,2,2021-01-31,2021-01-28,2021-02-07,10,True,7,True
18,3,2021-02-07,2021-02-07,2021-02-11,4,True,4,True
18,4,2021-02-17,2021-02-11,,,True,188,False
18,5,2021-02-21,,,,True,184,False
19,1,2021-07-03,2021-06-28,2021-07-03,5,False,,True
19,2,2021-07-08,2021-07-03,2021-07-06,3,False,,True
19,3,2021-07-13,2021-07-06,2021-07-10,4,False,,True
19,4,2021-07-16,2021-07-10,,,True,39,False
19,5,2021-07-20,,,,True,35,False
20,1,2021-07-04,2021-07-03,2021-07-14,11,True,10,True
20,2,2021-07-13,2021-07-14,2021-07-21,7,True,8,True
20,3,2021-07-24,2021-07-21,2021-08-01,11,True,8,True
20,4,2021-07-31,2021-08-01,,,True,24,False
20,5,2021-08-11,,,,True,13,False
21,1,2021-08-16,2021-08-12,2021-08-24,12,True,8,True
21,2,2021-08-22,2021-08-24,,,True,2,False
21,3,2021-09-03,,,,False,,False
